feature,shows_signal,n_tasks_signal,min_q,max_abs_log_hr
amount,TRUE,2,0,1.4404948688179064
amountETH,TRUE,2,0,2.852644442341522
amountUSD,TRUE,2,0,2.453942943973589
borrowRate,TRUE,1,0,0.11548773246744055
borrowRateMode_Variable,TRUE,3,0,0.607571864815478
coinType_Stable,TRUE,15,0,2.2754120402659446
cosDayOfMonth,TRUE,2,0,0.3809569979828523
cosDayOfQuarter,TRUE,1,2.3406060222859467e-81,0.10085560506526468
cosDayOfWeek,TRUE,3,0,0.17076388446936844
cosDayOfYear,TRUE,9,0,0.5654628450725444
cosQuarter,TRUE,5,0,0.5299563310528361
cosTimeOfDay,TRUE,4,0,0.48353204362011626
dayOfMonth,TRUE,3,0,0.19483065593126936
dayOfQuarter,TRUE,4,0,0.348182414904832
dayOfWeek,TRUE,4,0,0.5801226500745066
dayOfYear,TRUE,7,0,0.47214502223176286
isWeekend_TRUE,TRUE,11,0,0.9090762757282272
logAmount,TRUE,14,0,0.9299381871733157
logAmountETH,TRUE,14,0,0.654598646554145
logAmountUSD,TRUE,13,0,0.7870036937997983
marketBorrowAvgAmount,TRUE,7,0,0.3873945784048005
marketBorrowAvgAmountETH,TRUE,5,0,0.22499356566417592
marketBorrowAvgAmountUSD,TRUE,5,0,0.27857137624973105
marketBorrowCount,TRUE,9,0,0.5474111360954987
marketBorrowSum,TRUE,8,0,0.520340711325049
marketBorrowSumETH,TRUE,8,0,0.5177102308700634
marketBorrowSumUSD,TRUE,8,0,0.5206623220304032
marketCollateralCount,TRUE,8,0,0.5520979691371648
marketDepositAvgAmount,TRUE,1,1.232756707661447e-149,0.10130366440386758
marketDepositAvgAmountETH,TRUE,3,1.522845858974e-312,0.13812171955021707
marketDepositAvgAmountUSD,TRUE,2,1.7733800614759014e-259,0.13323113107004547
marketDepositCount,TRUE,6,0,0.5805106914329109
marketDepositSum,TRUE,4,0,0.22517259299770023
marketDepositSumETH,TRUE,9,0,0.4181563734712592
marketDepositSumUSD,TRUE,8,0,0.46028516477055037
marketLiquidationAvgAmount,TRUE,6,0,0.334512436404002
marketLiquidationAvgAmountETH,TRUE,5,0,0.2570702098400253
marketLiquidationAvgAmountUSD,TRUE,6,0,0.3526252037175676
marketLiquidationCount,TRUE,8,0,0.437863506952635
marketLiquidationSum,TRUE,9,0,0.5639522438424512
marketLiquidationSumETH,TRUE,9,0,0.5644762710568828
marketLiquidationSumUSD,TRUE,9,0,0.5683767772940477
marketRepayAvgAmount,TRUE,4,0,0.21525886444527206
marketRepayAvgAmountETH,TRUE,4,0,0.210673419539285
marketRepayAvgAmountUSD,TRUE,5,0,0.1878196465177041
marketRepayCount,TRUE,5,0,0.6501483974816638
marketRepaySum,TRUE,8,0,0.540685765123319
marketRepaySumETH,TRUE,6,0,0.43385776168524476
marketRepaySumUSD,TRUE,7,0,0.5141629363407749
marketSwapCount,TRUE,7,0,0.24442333992141535
marketWithdrawAvgAmount,TRUE,6,1.1024330496244547e-263,0.14901043159359376
marketWithdrawAvgAmountETH,TRUE,5,0,0.22679107383794292
marketWithdrawAvgAmountUSD,TRUE,4,3.95115285814e-313,0.13641382411315414
marketWithdrawCount,TRUE,8,0,0.6373361796755875
marketWithdrawSum,TRUE,3,0,0.13832051600731574
marketWithdrawSumETH,TRUE,9,0,0.32792439153673314
marketWithdrawSumUSD,TRUE,7,0,0.3619250008519347
priceInUSD,TRUE,7,0,Inf
quarter,TRUE,5,0,0.40093075598190947
reserve_CRV,TRUE,15,0,2.5160000510843292
reserve_DAI,TRUE,16,0,0.9494829497654792
reserve_GUSD,TRUE,7,3.828729581762706e-145,1.612731729280554
reserve_LINK,TRUE,11,0,2.639805779058788
reserve_Other,TRUE,15,0,1.9485806636987084
reserve_SNX,TRUE,3,4.677881251895189e-143,3.210900226412551
reserve_STETH,TRUE,4,0,3.6762762313604926
reserve_SUSD,TRUE,6,1.7931884412484556e-185,2.176030189811642
reserve_TUSD,TRUE,4,1.7876258480489785e-124,1.547922246603069
reserve_UNI,TRUE,4,3.4146654343721193e-107,2.2714294920477327
reserve_USDC,TRUE,16,0,2.1802585124600125
reserve_USDT,TRUE,13,0,1.7855930612141404
reserve_WBTC,TRUE,13,0,2.432991928635777
reserve_WETH,TRUE,14,0,1.8642885986085418
reserve_XSUSHI,TRUE,4,2.503334741192993e-93,2.909586869576248
sinDayOfMonth,TRUE,2,0,0.2791736377521693
sinDayOfQuarter,TRUE,3,0,0.3088700054325948
sinDayOfWeek,TRUE,4,0,0.5265310244399274
sinDayOfYear,TRUE,7,0,0.5840143471861747
sinQuarter,TRUE,8,0,0.5837884077920689
sinTimeOfDay,TRUE,8,0,0.531252830417247
timeOfDay,TRUE,3,0,0.30440035654853487
userActiveDaysMonthly,TRUE,14,0,1.2781882029735079
userActiveDaysWeekly,TRUE,15,0,1.2175783092640982
userActiveDaysYearly,TRUE,15,0,2.7064356302875416
userBorrowAvgAmount,TRUE,2,0,1.6123886208619238
userBorrowAvgAmountETH,TRUE,2,0,2.3102284701776994
userBorrowAvgAmountUSD,TRUE,2,0,2.3629683525298293
userBorrowCount,TRUE,13,0,0.2901912148639206
userBorrowSum,TRUE,1,0,0.12690664446733838
userBorrowSumETH,TRUE,1,0,0.18856849824564417
userBorrowSumUSD,TRUE,1,0,0.223563802812474
userCoinTypeMode_Stable,TRUE,15,0,2.2754120402659446
userCollateralCount,TRUE,13,0,66.07663091717552
userDepositAvgAmount,TRUE,1,0,14.031449308890497
userDepositAvgAmountETH,TRUE,3,0,0.7524493072237408
userDepositAvgAmountUSD,TRUE,2,0,1.4857451098029504
userDepositCount,TRUE,14,0,1.506750550640904
userDepositSum,TRUE,8,0,20.01963128239383
userDepositSumETH,TRUE,8,0,0.6042877866203831
userDepositSumUSD,TRUE,7,0,0.6355948408764582
userIsNew_TRUE,TRUE,3,4.8135594810892246e-49,9.000049257954695
userLiquidationAvgAmount,TRUE,7,0,0.2479424246531572
userLiquidationAvgAmountETH,TRUE,5,0,0.21319663991970805
userLiquidationAvgAmountUSD,TRUE,8,0,0.2507379967394104
userLiquidationCount,TRUE,8,0,0.21411468727426783
userLiquidationSum,TRUE,4,0,0.18551731331299315
userLiquidationSumETH,TRUE,4,0,0.16818540435818471
userLiquidationSumUSD,TRUE,4,0,0.18594877007954144
userRepayAvgAmount,TRUE,3,0,1.3120652278725968
userRepayAvgAmountETH,TRUE,3,0,1.860252601246464
userRepayAvgAmountUSD,TRUE,3,0,2.009551289166409
userRepayCount,TRUE,9,0,0.21719681347654116
userRepaySum,TRUE,1,5.849217574945155e-244,0.1878951256819542
userRepaySumETH,TRUE,1,0,0.23540895023688074
userRepaySumUSD,TRUE,1,1.753061877e-315,0.2897382910427092
userReserveMode_CRV,TRUE,15,0,2.5160000510843292
userReserveMode_DAI,TRUE,16,0,0.9494829497654792
userReserveMode_GUSD,TRUE,7,3.828729581762706e-145,1.612731729280554
userReserveMode_LINK,TRUE,11,0,2.639805779058788
userReserveMode_Other,TRUE,15,0,1.9485806636987084
userReserveMode_SNX,TRUE,3,4.677881251895189e-143,3.210900226412551
userReserveMode_STETH,TRUE,4,0,3.6762762313604926
userReserveMode_SUSD,TRUE,6,1.7931884412484556e-185,2.176030189811642
userReserveMode_TUSD,TRUE,4,1.7876258480489785e-124,1.547922246603069
userReserveMode_UNI,TRUE,4,3.4146654343721193e-107,2.2714294920477327
userReserveMode_USDC,TRUE,16,0,2.1802585124600125
userReserveMode_USDT,TRUE,13,0,1.7855930612141404
userReserveMode_WBTC,TRUE,13,0,2.432991928635777
userReserveMode_WETH,TRUE,14,0,1.8642885986085418
userReserveMode_XSUSHI,TRUE,4,2.503334741192993e-93,2.909586869576248
userSecondsSinceFirstTransaction,TRUE,10,0,0.5266537282232436
userSecondsSincePreviousTransaction,TRUE,14,0,1.944469827191236
userSwapCount,TRUE,8,0,0.18821882436679996
userWithdrawAvgAmount,TRUE,1,0,9.559716154689449
userWithdrawAvgAmountETH,TRUE,2,0,0.559174049443646
userWithdrawAvgAmountUSD,TRUE,2,0,2.2322287271696344
userWithdrawCount,TRUE,13,0,17.835840926471054
